id,label_source,title_clean,reason,permalink
48598823,show_hn,Can you draw a 3 wheeled bicycle?,"show_hn title phrased as a question, not an announcement",https://news.ycombinator.com/item?id=48598823
48598051,show_hn,Brain Frog – Can you be random enough for 11 lines of JavaScript?,"show_hn title phrased as a question, not an announcement",https://news.ycombinator.com/item?id=48598051
48591348,show_hn,Are You in the Weights?,"show_hn title phrased as a question, not an announcement",https://news.ycombinator.com/item?id=48591348
48619170,story,Is Trump-Netanyahu Rift on the Cards?,story title reads as a direct question,https://news.ycombinator.com/item?id=48619170
48619005,story,AI Under Trump's Control: Can France Still Avoid Digital Dependence?,story title reads as a direct question,https://news.ycombinator.com/item?id=48619005
48618676,story,Brain the Size of a Planet: Are LLMs Thonking Too Hard?,story title reads as a direct question,https://news.ycombinator.com/item?id=48618676
48618275,story,How do you trick your brain into avoiding impulse purchases?,story title reads as a direct question,https://news.ycombinator.com/item?id=48618275
48618235,story,He tried to make RAM Man a new currency in 2011 – how did it go?,story title reads as a direct question,https://news.ycombinator.com/item?id=48618235
48617311,story,What does it mean for AI to be democratic?,story title reads as a direct question,https://news.ycombinator.com/item?id=48617311
48617145,story,Can someone try to get my websites admin panel?,story title reads as a direct question,https://news.ycombinator.com/item?id=48617145
48616656,story,How Do Solar Panels Work?,story title reads as a direct question,https://news.ycombinator.com/item?id=48616656
48616515,story,Do MCP's use more tokens than CLI's?,story title reads as a direct question,https://news.ycombinator.com/item?id=48616515
48616218,story,Where Do India's IPO-Bound Founders Come From?,story title reads as a direct question,https://news.ycombinator.com/item?id=48616218
48615924,story,How do we prevent Bitrot?,story title reads as a direct question,https://news.ycombinator.com/item?id=48615924
48615798,story,What are your Favorite Lobste.rs Comments?,story title reads as a direct question,https://news.ycombinator.com/item?id=48615798
